date,fed_fund_rate,average_30_year_mortgage_rate
1971-04,0.0415,0.0731
1971-05,0.0463,0.07425
1972-02,0.0329,0.07325
1979-08,0.1094,0.11094
1979-09,0.1143,0.113
1979-10,0.1377,0.11637499999999999
1979-11,0.1318,0.1283
1979-12,0.1378,0.129
1980-01,0.1382,0.128775
1980-02,0.1413,0.1304
1980-03,0.17190000000000003,0.15282500000000002
1980-04,0.1761,0.16325
1980-05,0.10980000000000001,0.14262
1972-03,0.0383,0.07298
1980-06,0.0947,0.12710000000000002
1980-07,0.09029999999999999,0.121925
1980-08,0.09609999999999999,0.12560000000000002
1980-09,0.10869999999999999,0.131975
1980-10,0.1281,0.13792
1980-11,0.1585,0.14205
1980-12,0.18899999999999997,0.1479
1981-01,0.19079999999999997,0.14904
1981-02,0.1593,0.15132500000000002
1981-03,0.147,0.154
1972-04,0.0417,0.0729
1981-04,0.1572,0.1558
1981-05,0.1852,0.16402
1981-06,0.191,0.16695000000000002
1981-07,0.19039999999999999,0.16832
1981-08,0.1782,0.17285
1981-09,0.15869999999999998,0.1816
1981-10,0.1508,0.18454
1981-11,0.1331,0.17825
1981-12,0.12369999999999999,0.16946000000000003
1982-01,0.1322,0.17485
1972-05,0.042699999999999995,0.073725
1982-02,0.1478,0.175975
1982-03,0.14679999999999999,0.1716
1982-04,0.1494,0.16892
1982-05,0.1445,0.16677499999999998
1982-06,0.14150000000000001,0.166975
1982-07,0.1259,0.16815999999999998
1982-08,0.1012,0.16269999999999998
1982-09,0.10310000000000001,0.1543
1982-10,0.0971,0.14608000000000002
1982-11,0.092,0.13824999999999998
1972-06,0.0446,0.07372
1982-12,0.0895,0.13624
1983-01,0.0868,0.132475
1983-02,0.0851,0.130425
1983-03,0.0877,0.128
1983-04,0.08800000000000001,0.12782
1983-05,0.0863,0.126325
1983-06,0.0898,0.12869999999999998
1983-07,0.09369999999999999,0.13422
1983-08,0.0956,0.1381
1983-09,0.09449999999999999,0.13726000000000002
1972-07,0.0455,0.07395
1983-10,0.09480000000000001,0.13535
1983-11,0.0934,0.13435
1983-12,0.0947,0.13419999999999999
1984-01,0.0956,0.133675
1984-02,0.0959,0.132325
1984-03,0.09910000000000001,0.13385999999999998
1984-04,0.10289999999999999,0.136525
1984-05,0.1032,0.13942500000000002
1984-06,0.1106,0.14416
1984-07,0.11230000000000001,0.146675
1972-08,0.048,0.07400000000000001
1984-08,0.1164,0.1447
1984-09,0.113,0.1435
1984-10,0.0999,0.1413
1984-11,0.0943,0.13638
1984-12,0.08380000000000001,0.1318
1985-01,0.08349999999999999,0.13075
1985-02,0.085,0.1292
1985-03,0.0858,0.1317
1985-04,0.0827,0.13195
1985-05,0.0797,0.12914
1972-09,0.0487,0.0742
1985-06,0.0753,0.12215
1985-07,0.0788,0.120325
1985-08,0.079,0.12186
1985-09,0.07919999999999999,0.121925
1985-10,0.0799,0.12135
1985-11,0.0805,0.11784
1985-12,0.0827,0.11259999999999999
1986-01,0.0814,0.10886
1986-02,0.0786,0.10710000000000001
1986-03,0.0748,0.1008
1972-10,0.0504,0.0742
1986-04,0.0699,0.099375
1986-05,0.06849999999999999,0.10144
1986-06,0.0692,0.10682499999999999
1986-07,0.06559999999999999,0.105075
1986-08,0.0617,0.102
1986-09,0.058899999999999994,0.100075
1986-10,0.058499999999999996,0.09974
1986-11,0.0604,0.09695000000000001
1986-12,0.0691,0.0931
1987-01,0.0643,0.09204000000000001
1972-11,0.0506,0.07427500000000001
1987-02,0.061,0.09082499999999999
1987-03,0.0613,0.09035
1987-04,0.0637,0.098325
1987-05,0.06849999999999999,0.10596
1987-06,0.0673,0.105375
1987-07,0.0658,0.10278000000000001
1987-08,0.0673,0.1033
1987-09,0.0722,0.108875
1987-10,0.0729,0.11259999999999999
1987-11,0.0669,0.1065
1971-06,0.049100000000000005,0.0753
1972-12,0.0533,0.07442
1987-12,0.0677,0.10640000000000001
1988-01,0.0683,0.103825
1988-02,0.0658,0.098925
1988-03,0.0658,0.0993
1988-04,0.0687,0.10202
1988-05,0.0709,0.10455
1988-06,0.0751,0.10460000000000001
1988-07,0.0775,0.10432000000000001
1988-08,0.0801,0.105975
1988-09,0.0819,0.1048
1973-01,0.0594,0.074375
1988-10,0.083,0.103025
1988-11,0.08349999999999999,0.10265
1988-12,0.0876,0.10612
1989-01,0.09119999999999999,0.1073
1989-02,0.09359999999999999,0.10644999999999999
1989-03,0.09849999999999999,0.11032
1989-04,0.0984,0.1105
1989-05,0.0981,0.10772500000000002
1989-06,0.0953,0.10196
