City,Date,Card Type,Exp Type,Gender,Amount
"Delhi, India",29-Oct-14,Gold,Bills,F,82475
"Greater Mumbai, India",22-Aug-14,Platinum,Bills,F,32555
"Bengaluru, India",27-Aug-14,Silver,Bills,F,101738
"Greater Mumbai, India",12-Apr-14,Signature,Bills,F,123424
"Bengaluru, India",5-May-15,Gold,Bills,F,171574
"Delhi, India",8-Sep-14,Silver,Bills,F,100036
"Delhi, India",24-Feb-15,Gold,Bills,F,143250
"Greater Mumbai, India",26-Jun-14,Platinum,Bills,F,150980
"Delhi, India",28-Mar-14,Silver,Bills,F,192247
"Delhi, India",1-Sep-14,Platinum,Bills,F,67932
"Delhi, India",22-Jun-14,Platinum,Bills,F,280061
"Greater Mumbai, India",7-Dec-13,Signature,Bills,F,278036
"Greater Mumbai, India",7-Aug-14,Gold,Bills,F,19226
"Delhi, India",27-Apr-14,Signature,Bills,F,254359
"Greater Mumbai, India",15-Aug-14,Signature,Bills,F,302834
"Greater Mumbai, India",28-Nov-14,Platinum,Bills,F,647116
"Greater Mumbai, India",14-Jun-14,Signature,Bills,F,421878
"Greater Mumbai, India",30-Mar-15,Gold,Bills,F,986379
"Greater Mumbai, India",15-Mar-14,Platinum,Bills,F,213047
"Greater Mumbai, India",9-Nov-13,Platinum,Bills,F,735566
"Delhi, India",4-Apr-14,Signature,Bills,F,366102
"Delhi, India",1-Jul-14,Signature,Bills,F,809623
"Greater Mumbai, India",27-Mar-15,Silver,Bills,F,467014
"Ahmedabad, India",11-Oct-13,Gold,Bills,F,668568
"Ahmedabad, India",26-Mar-14,Gold,Bills,F,339112
"Delhi, India",27-Sep-14,Silver,Bills,F,622170
"Bengaluru, India",23-Mar-14,Platinum,Bills,F,434427
"Greater Mumbai, India",17-May-14,Signature,Bills,F,655846
"Bengaluru, India",18-Jan-15,Platinum,Bills,F,987935
"Delhi, India",18-Apr-15,Gold,Bills,F,702774
"Bengaluru, India",31-Jul-14,Signature,Bills,F,225392
"Greater Mumbai, India",11-Feb-15,Gold,Bills,F,296573
"Ahmedabad, India",24-Nov-13,Platinum,Bills,F,227702
"Ahmedabad, India",8-Nov-14,Gold,Bills,F,864090
"Ahmedabad, India",6-Sep-14,Signature,Bills,F,440605
"Ahmedabad, India",24-Mar-15,Platinum,Bills,F,954660
"Ahmedabad, India",1-Jan-14,Signature,Bills,F,255577
"Ahmedabad, India",12-Jul-14,Silver,Bills,F,337352
"Ahmedabad, India",4-Feb-14,Platinum,Bills,F,660244
"Delhi, India",3-Feb-15,Silver,Bills,F,401351
"Delhi, India",27-Oct-13,Platinum,Bills,F,678842
"Delhi, India",11-May-14,Gold,Bills,F,478861
"Bengaluru, India",10-Nov-14,Platinum,Bills,F,804938
"Delhi, India",30-Jan-15,Silver,Bills,F,888341
"Bengaluru, India",19-Apr-14,Platinum,Bills,F,262414
"Bengaluru, India",8-Sep-14,Gold,Bills,F,249353
"Ahmedabad, India",10-Dec-13,Gold,Bills,F,892016
"Ahmedabad, India",4-Nov-13,Platinum,Bills,F,313626
"Greater Mumbai, India",1-Jun-14,Gold,Bills,F,314366
"Greater Mumbai, India",27-Apr-14,Signature,Bills,F,551340
"Delhi, India",4-Oct-13,Signature,Bills,F,735037
"Greater Mumbai, India",31-Dec-14,Platinum,Bills,F,574023
"Ahmedabad, India",21-Dec-13,Signature,Bills,F,402300
"Delhi, India",7-Dec-13,Signature,Bills,F,733125
"Greater Mumbai, India",7-Feb-14,Signature,Bills,F,545977
"Bengaluru, India",13-May-15,Silver,Bills,F,371572
"Ahmedabad, India",28-Jan-15,Signature,Bills,F,326283
"Delhi, India",9-Dec-14,Platinum,Bills,F,279051
"Delhi, India",8-Oct-13,Platinum,Bills,F,900101
"Ahmedabad, India",24-Apr-14,Silver,Bills,F,545286
"Delhi, India",13-Jan-15,Platinum,Bills,F,722587
"Bengaluru, India",14-Mar-14,Platinum,Bills,F,411062
"Delhi, India",27-Feb-14,Platinum,Bills,F,660910
"Greater Mumbai, India",29-Oct-13,Signature,Bills,F,557370
"Greater Mumbai, India",22-Jun-14,Platinum,Bills,F,549794
"Delhi, India",23-Jan-14,Platinum,Bills,F,340133
"Bengaluru, India",10-Nov-13,Gold,Bills,F,265417
"Greater Mumbai, India",13-Dec-13,Platinum,Bills,F,358185
"Greater Mumbai, India",22-Mar-14,Gold,Bills,F,991685
"Greater Mumbai, India",13-Jan-15,Gold,Bills,F,533762
"Greater Mumbai, India",8-May-14,Gold,Bills,F,829742
"Delhi, India",18-Feb-14,Silver,Bills,F,441527
"Delhi, India",4-Oct-13,Signature,Bills,F,550782
"Greater Mumbai, India",14-Jun-14,Platinum,Bills,F,835872
"Ahmedabad, India",24-Aug-14,Silver,Bills,F,540497
"Greater Mumbai, India",2-Apr-15,Platinum,Bills,F,525977
"Greater Mumbai, India",27-Jun-14,Gold,Bills,F,789393
"Greater Mumbai, India",6-Feb-15,Platinum,Bills,F,689478
"Bengaluru, India",29-Mar-14,Silver,Bills,F,499079
"Ahmedabad, India",22-Apr-14,Platinum,Bills,F,665107
"Greater Mumbai, India",14-Oct-14,Platinum,Bills,F,998077
"Ahmedabad, India",2-Feb-14,Silver,Bills,F,934205
"Bengaluru, India",1-Apr-15,Platinum,Bills,F,823426
"Ahmedabad, India",13-Jan-15,Signature,Bills,F,282910
"Bengaluru, India",27-Mar-14,Gold,Bills,F,418675
"Ahmedabad, India",17-Feb-15,Silver,Bills,F,804949
"Bengaluru, India",10-Feb-15,Gold,Bills,F,686601
"Greater Mumbai, India",26-Feb-14,Silver,Bills,F,561220
"Greater Mumbai, India",7-May-15,Gold,Bills,F,762534
"Bengaluru, India",5-Jan-14,Gold,Bills,F,327947
"Bengaluru, India",7-Apr-14,Gold,Bills,F,492986
"Delhi, India",20-Feb-15,Signature,Bills,F,369237
"Bengaluru, India",19-Jan-15,Platinum,Bills,F,983839
"Ahmedabad, India",14-Nov-14,Gold,Bills,F,776716
"Greater Mumbai, India",21-Jul-14,Gold,Bills,F,664632
"Bengaluru, India",3-Feb-15,Gold,Bills,F,466727
"Bengaluru, India",1-Nov-13,Gold,Bills,F,896384
"Delhi, India",7-Dec-13,Signature,Bills,F,712001
"Greater Mumbai, India",5-Aug-14,Silver,Bills,F,246865
"Greater Mumbai, India",8-Jan-15,Signature,Bills,F,858729
"Delhi, India",11-Apr-15,Platinum,Bills,F,581882
"Greater Mumbai, India",15-Feb-15,Signature,Bills,F,646426
"Bengaluru, India",24-Mar-15,Silver,Bills,F,687088
"Bengaluru, India",13-Oct-13,Signature,Bills,F,973026
"Greater Mumbai, India",24-Apr-15,Silver,Bills,F,944398
"Ahmedabad, India",9-Nov-14,Platinum,Bills,F,414422
"Bengaluru, India",4-Feb-15,Signature,Bills,F,408503
"Bengaluru, India",6-Mar-14,Signature,Bills,F,984466
"Greater Mumbai, India",27-Mar-14,Gold,Bills,F,919997
"Greater Mumbai, India",13-Nov-13,Signature,Bills,F,535101
"Greater Mumbai, India",22-Oct-13,Signature,Bills,F,978301
"Greater Mumbai, India",27-Sep-14,Gold,Bills,F,880406
"Ahmedabad, India",14-Nov-14,Silver,Bills,F,447241
"Bengaluru, India",21-Oct-13,Platinum,Bills,F,382191
"Bengaluru, India",15-May-15,Silver,Bills,F,775859
"Bengaluru, India",21-Mar-14,Platinum,Bills,F,832637
"Bengaluru, India",3-Apr-15,Platinum,Bills,F,458526
"Ahmedabad, India",6-Apr-15,Signature,Bills,F,440995
"Ahmedabad, India",5-Nov-13,Platinum,Bills,F,490128
"Delhi, India",7-Oct-13,Platinum,Bills,F,897079
"Delhi, India",31-Oct-14,Gold,Bills,F,431948
"Bengaluru, India",3-Apr-14,Silver,Bills,F,228072
"Delhi, India",21-Nov-13,Gold,Bills,F,757649
"Delhi, India",11-May-14,Signature,Bills,F,919877
"Greater Mumbai, India",23-May-14,Gold,Bills,F,605615
"Bengaluru, India",22-May-15,Platinum,Bills,F,500852
"Greater Mumbai, India",15-Feb-15,Signature,Bills,F,488136
"Delhi, India",16-Jun-14,Gold,Bills,F,937828
"Delhi, India",27-Jan-14,Gold,Bills,F,315873
"Greater Mumbai, India",20-May-15,Silver,Bills,F,567623
"Greater Mumbai, India",29-Oct-13,Platinum,Bills,F,555123
"Bengaluru, India",20-Apr-14,Gold,Bills,F,498843
"Greater Mumbai, India",23-May-14,Silver,Bills,F,752610
"Greater Mumbai, India",11-Mar-15,Platinum,Bills,F,494540
"Delhi, India",27-Oct-13,Gold,Bills,F,996754
"Ahmedabad, India",14-Jul-14,Signature,Bills,F,245572
"Delhi, India",18-Apr-14,Gold,Bills,F,974384
"Ahmedabad, India",25-Mar-14,Silver,Bills,F,846635
"Ahmedabad, India",1-Sep-14,Silver,Bills,F,635473
"Delhi, India",23-Mar-15,Gold,Bills,F,224510
"Delhi, India",24-Jan-15,Silver,Bills,F,478671
"Greater Mumbai, India",4-Oct-13,Gold,Bills,F,990700
"Delhi, India",14-Mar-14,Gold,Bills,F,228565
"Bengaluru, India",3-Jan-14,Silver,Bills,F,297732
"Greater Mumbai, India",3-Dec-14,Signature,Bills,F,559262
"Bengaluru, India",1-Jul-14,Signature,Bills,F,809907
"Ahmedabad, India",21-Aug-14,Signature,Bills,F,428316
"Ahmedabad, India",5-Mar-14,Signature,Bills,F,275065
"Bengaluru, India",20-Apr-14,Silver,Bills,F,845653
"Ahmedabad, India",20-Nov-13,Signature,Bills,F,236296
"Bengaluru, India",25-Sep-14,Signature,Bills,F,440572
"Ahmedabad, India",6-Feb-15,Gold,Bills,F,478115
"Bengaluru, India",26-Oct-13,Gold,Bills,F,897621
"Greater Mumbai, India",6-May-15,Signature,Bills,F,554281
"Delhi, India",30-Sep-14,Silver,Bills,F,245452
"Delhi, India",17-Jan-14,Platinum,Bills,F,365045
"Greater Mumbai, India",11-Jan-15,Gold,Bills,F,496047
"Bengaluru, India",11-Feb-15,Silver,Bills,F,466814
"Bengaluru, India",10-Nov-14,Gold,Bills,F,835177
"Delhi, India",12-Jan-15,Silver,Bills,F,219698
"Bengaluru, India",18-Oct-14,Silver,Bills,F,784541
"Delhi, India",25-Oct-13,Signature,Bills,F,576994
"Bengaluru, India",15-May-15,Gold,Bills,F,464663
"Bengaluru, India",3-May-14,Platinum,Bills,F,380270
"Ahmedabad, India",2-Oct-14,Silver,Bills,F,772082
"Delhi, India",9-Apr-15,Gold,Bills,F,230853
"Bengaluru, India",6-Oct-13,Signature,Bills,F,677654
"Greater Mumbai, India",5-Feb-14,Signature,Bills,F,929247
"Ahmedabad, India",9-Apr-15,Platinum,Bills,F,851374
"Ahmedabad, India",19-Jan-14,Platinum,Bills,F,637600
"Greater Mumbai, India",9-Nov-13,Platinum,Bills,F,681749
"Delhi, India",25-Mar-14,Silver,Bills,F,847958
"Greater Mumbai, India",18-Feb-14,Gold,Bills,F,877569
"Ahmedabad, India",14-Oct-13,Platinum,Bills,F,450413
"Bengaluru, India",1-May-15,Signature,Bills,F,219041
"Bengaluru, India",31-Dec-14,Gold,Bills,F,866572
"Greater Mumbai, India",26-Mar-14,Signature,Bills,F,570791
"Ahmedabad, India",28-Apr-14,Silver,Bills,F,705464
"Greater Mumbai, India",6-Apr-14,Signature,Bills,F,806821
"Greater Mumbai, India",27-Mar-14,Platinum,Bills,F,515472
"Ahmedabad, India",23-Sep-14,Silver,Bills,F,352207
"Ahmedabad, India",4-Mar-15,Gold,Bills,F,342761
"Bengaluru, India",27-Feb-14,Signature,Bills,F,249099
"Ahmedabad, India",27-Aug-14,Platinum,Bills,F,995634
"Bengaluru, India",12-Dec-14,Signature,Bills,F,435097
"Ahmedabad, India",16-Jun-14,Platinum,Bills,F,797815
"Delhi, India",2-Jan-14,Gold,Bills,F,326922
"Bengaluru, India",11-Dec-14,Gold,Bills,F,396241
"Delhi, India",14-Dec-14,Gold,Bills,F,486949
"Greater Mumbai, India",17-Jan-14,Gold,Bills,F,333483
"Ahmedabad, India",5-Oct-13,Platinum,Bills,F,612572
"Bengaluru, India",18-Mar-15,Silver,Bills,F,327244
"Ahmedabad, India",4-Feb-14,Silver,Bills,F,955468
"Greater Mumbai, India",25-Feb-15,Gold,Bills,F,927864
"Delhi, India",28-Mar-14,Signature,Bills,F,555220
"Delhi, India",28-Dec-14,Silver,Bills,F,952640
"Ahmedabad, India",31-May-14,Silver,Bills,F,695749
"Greater Mumbai, India",22-Aug-14,Platinum,Bills,F,365724
"Greater Mumbai, India",3-Mar-15,Platinum,Bills,F,738108
"Ahmedabad, India",17-Jan-15,Platinum,Bills,F,650785
"Delhi, India",23-Oct-14,Signature,Bills,F,611486
"Bengaluru, India",5-Aug-14,Platinum,Bills,F,965721
"Ahmedabad, India",12-Oct-14,Gold,Bills,F,413052
"Ahmedabad, India",22-Jan-14,Silver,Bills,F,584822
"Ahmedabad, India",25-Mar-15,Gold,Bills,F,980146
"Ahmedabad, India",10-Oct-14,Signature,Bills,F,926072
"Delhi, India",16-Apr-14,Silver,Bills,F,482394
"Bengaluru, India",21-Feb-14,Signature,Bills,F,718346
"Bengaluru, India",24-Apr-14,Silver,Bills,F,491598
"Delhi, India",7-Sep-14,Platinum,Bills,F,848852
"Bengaluru, India",28-Dec-14,Gold,Bills,F,396139
"Ahmedabad, India",13-Oct-14,Signature,Bills,F,856974
"Ahmedabad, India",3-Apr-15,Signature,Bills,F,855990
"Delhi, India",16-Feb-15,Signature,Bills,F,924776
"Greater Mumbai, India",3-Apr-14,Signature,Bills,F,204850
"Delhi, India",3-Nov-13,Platinum,Bills,F,780669
"Greater Mumbai, India",17-Apr-14,Signature,Bills,F,887442
"Delhi, India",22-Jan-14,Signature,Bills,F,297820
"Delhi, India",14-Mar-15,Signature,Bills,F,687879
"Greater Mumbai, India",13-Oct-13,Silver,Bills,F,738456
"Delhi, India",24-Aug-14,Platinum,Bills,F,378535
"Greater Mumbai, India",9-May-15,Silver,Bills,F,334116
"Delhi, India",7-Jun-14,Silver,Bills,F,772360
"Ahmedabad, India",26-Nov-14,Gold,Bills,F,580796
"Greater Mumbai, India",21-Oct-14,Silver,Bills,F,855465
"Greater Mumbai, India",15-Jun-14,Gold,Bills,F,978989
"Ahmedabad, India",25-Apr-15,Gold,Bills,F,451874
"Ahmedabad, India",7-Sep-14,Silver,Bills,F,670750
"Bengaluru, India",19-May-15,Signature,Bills,F,977951
"Delhi, India",23-Feb-14,Platinum,Bills,F,403466
"Delhi, India",28-Oct-13,Signature,Bills,F,861177
"Ahmedabad, India",17-Dec-14,Gold,Bills,F,528612
"Ahmedabad, India",4-Dec-14,Signature,Bills,F,339670
"Delhi, India",18-Nov-13,Signature,Bills,F,963751
"Ahmedabad, India",30-Nov-14,Gold,Bills,F,761930
"Ahmedabad, India",21-Aug-14,Signature,Bills,F,852806
"Delhi, India",25-May-14,Signature,Bills,F,207755
"Greater Mumbai, India",19-Apr-15,Gold,Bills,F,489540
"Ahmedabad, India",25-Mar-14,Silver,Bills,F,274395
"Bengaluru, India",11-Feb-14,Platinum,Bills,F,566945
"Ahmedabad, India",9-Dec-14,Gold,Bills,F,705690
"Bengaluru, India",25-Mar-14,Gold,Bills,F,894888
"Greater Mumbai, India",2-Jan-14,Platinum,Bills,F,811899
"Greater Mumbai, India",25-Dec-14,Silver,Bills,F,677645
"Greater Mumbai, India",16-Oct-14,Platinum,Bills,F,326162
"Delhi, India",19-Apr-15,Platinum,Bills,F,316946
"Delhi, India",20-Jan-14,Platinum,Bills,F,622373
"Bengaluru, India",10-May-14,Signature,Bills,F,640653
"Ahmedabad, India",9-Jan-15,Signature,Bills,F,745493
"Delhi, India",31-Oct-13,Gold,Bills,F,868021
"Delhi, India",28-Nov-14,Platinum,Bills,F,284923
"Bengaluru, India",21-Jul-14,Platinum,Bills,F,814422
"Bengaluru, India",22-Apr-15,Gold,Bills,F,599741
