rank,bank,country,total_assets_us_b,balance_sheet
1,Industrial & Commercial Bank of China,China,"3,615.17",3/31/17
2,China Construction Bank Corp,China,"3,149.25",3/31/17
3,Agricultural Bank of China,China,"2,950.21",3/31/17
4,Bank of China,China,"2,746.05",3/31/17
5,Mitsubishi UFJ Financial Group,Japan,"2,713.44",3/31/17
6,JPMorgan Chase & Co,USA,"2,546.29",3/31/17
7,HSBC Holdings,UK,"2,416.47",3/31/17
8,BNP Paribas,France,"2,348.65",3/31/17
9,Bank of America,USA,"2,247.70",3/31/17
10,Wells Fargo,USA,"1,951.56",3/31/17
11,Japan Post Bank,Japan,"1,874.90",3/31/17
12,Credit Agricole Group,France,"1,869.92",3/31/17
13,China Development Bank,China,"1,831.86",3/31/17
14,Citigroup Inc,USA,"1,821.64",3/31/17
15,Mizuho Financial Group,Japan,"1,793.84",3/31/17
16,Sumitomo Mitsui Financial Group,Japan,"1,769.54",3/31/17
17,Deutsche Bank,Germany,"1,672.27",3/31/17
18,Barclays PLC,UK,"1,502.15",3/31/17
19,Societe Generale,France,"1,497.47",3/31/17
20,Banco Santander,Spain,"1,444.85",3/31/17
21,Groupe BPCE,France,"1,323.76",3/31/17
22,Bank of Communications,China,"1,267.78",3/31/17
23,Postal Savings Bank of China,China,"1,231.95",3/31/17
24,Lloyds Banking Group,UK,"1,020.01",3/31/17
25,Royal Bank of Scotland Group,UK,977.408,3/31/17
26,Norinchukin Bank,Japan,957.372,3/31/17
27,ING Groep NV,Netherlands,945.608,3/31/17
28,UniCredit S.p.A.,Italy,941.622,3/31/17
29,Toronto-Dominion Bank,Canada,941.293,3/31/17
30,UBS Group AG,Switzerland,909.208,3/31/17
31,Royal Bank of Canada,Canada,904.45,3/31/17
32,Industrial Bank Co. Ltd,China,904.22,3/31/17
33,Goldman Sachs Group,USA,894.069,3/31/17
34,China Merchants Bank,China,871.052,3/31/17
35,China Minsheng Banking Corp,China,864.655,3/31/17
36,Shanghai Pudong Development Bank,China,854.937,3/31/17
37,China CITIC Bank Corp,China,834.934,3/31/17
38,Morgan Stanley,USA,832.391,3/31/17
39,Credit Suisse Group,Switzerland,811.622,3/31/17
40,Intesa Sanpaolo,Italy,790.271,3/31/17
41,Credit Mutuel,France,782.37,3/31/17
42,BBVA,Spain,768.607,3/31/17
43,Commonwealth Bank of Australia,Australia,743.871,3/31/17
44,Rabobank Group,Netherlands,707.842,3/31/17
45,Nordea,Sweden,694.95,3/31/17
46,Australia & New Zealand Banking Group,Australia,686.298,3/31/17
47,Bank of Nova Scotia,Canada,665.286,3/31/17
48,Standard Chartered Plc,UK,646.692,3/31/17
49,Westpac Banking Corp,Australia,643.032,3/31/17
50,European Investment Bank,Luxembourg,612.616,3/31/17
51,National Australia Bank,Australia,604.935,3/31/17
